 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 163869 |           62 | 799.713 (/nb) |             [79-123] | 707.577 (/nb) |
| 165088 |          200 |   5.040 (/nb) |            [107-266] |   4.033 (/nb) |
| 165098 |          320 |  31.649 (/nb) |           [124-187], |  27.508 (/nb) |
|        |              |               |           [190-193], |               |
|        |              |               |           [195-248], |               |
|        |              |               |           [250-254], |               |
|        |              |               |           [256-331], |               |
|        |              |               | [333-367], [369-415] |               |
| 165099 |          125 |  10.726 (/nb) |              [1-105] |   8.857 (/nb) |
| 165102 |          200 |  17.827 (/nb) |              [1-185] |  16.477 (/nb) |
| 165103 |          451 |  47.776 (/nb) |              [1-440] |  46.538 (/nb) |
| 165120 |           56 | 272.397 (/nb) |              [82-97] |  76.749 (/nb) |
| 165121 |          483 |   2.159 (/pb) |              [1-466] |   2.058 (/pb) |
| 165205 |          195 |   2.027 (/pb) |             [80-248] |   1.729 (/pb) |
| 165208 |          113 |   1.098 (/pb) |              [1-101] | 952.345 (/nb) |
| 165364 |         1260 |  19.762 (/pb) | [45-111], [114-147], |  18.418 (/pb) |
|        |              |               |           [160-807], |               |
|        |              |               |          [809-1220], |               |
|        |              |               |          [1260-1300] |               |
| 165402 |           27 | 456.121 (/nb) |               [1-27] | 418.640 (/nb) |
| 165415 |         1342 |  20.438 (/pb) |   [58-85], [88-640], |  19.554 (/pb) |
|        |              |               |           [643-707], |               |
|        |              |               |           [712-777], |               |
|        |              |               |          [780-1356], |               |
|        |              |               |          [1360-1383] |               |
| 165467 |          701 |  13.039 (/pb) |             [39-708] |  11.824 (/pb) |
| 165472 |          897 |  13.591 (/pb) |   [1-184], [186-882] |  13.012 (/pb) |
| 165486 |           89 |   1.996 (/pb) |             [37-102] |   1.411 (/pb) |
| 165487 |          153 |   3.100 (/pb) |              [1-151] |   2.969 (/pb) |
| 165506 |          123 |   2.141 (/pb) |             [54-170] |   1.923 (/pb) |
| 165514 |          501 |  11.809 (/pb) | [72-244], [246-270], |  10.803 (/pb) |
|        |              |               | [283-560], [562-567] |               |
| 165548 |          630 |   9.583 (/pb) |  [1-363], [365-381], |   8.717 (/pb) |
|        |              |               |            [384-589] |               |
| 165558 |           74 |   1.044 (/pb) |               [1-62] | 819.609 (/nb) |
| 165567 |          601 |  13.183 (/pb) | [54-109], [114-309], |  12.073 (/pb) |
|        |              |               |            [315-631] |               |
| 165570 |          951 |  17.046 (/pb) |       [1-2], [5-83], |  16.348 (/pb) |
|        |              |               | [88-207], [209-351], |               |
|        |              |               | [355-942], [944-946] |               |
| 165617 |          395 |   9.444 (/pb) |   [26-52], [54-143], |   6.008 (/pb) |
|        |              |               |            [145-288] |               |
| 165620 |           62 |   1.263 (/pb) |              [14-19] | 127.699 (/nb) |
| 165633 |          460 |  10.582 (/pb) |    [56-62], [64-64], |   9.733 (/pb) |
|        |              |               | [66-129], [133-317], |               |
|        |              |               |            [319-500] |               |
| 165970 |          273 |   6.784 (/pb) | [67-263], [266-329], |   6.461 (/pb) |
|        |              |               |            [331-334] |               |
| 165993 |         1655 |  33.180 (/pb) |            [71-873], |  32.058 (/pb) |
|        |              |               |          [879-1660], |               |
|        |              |               |          [1665-1697] |               |
| 166011 |           82 |   1.922 (/pb) |               [1-81] |   1.838 (/pb) |
| 166033 |         1234 |  31.595 (/pb) |   [35-53], [59-330], |  29.398 (/pb) |
|        |              |               |           [336-355], |               |
|        |              |               |           [360-444], |               |
|        |              |               |           [450-606], |               |
|        |              |               |           [613-707], |               |
|        |              |               |           [713-1233] |               |
| 166034 |          392 |   7.868 (/pb) |  [1-109], [115-228], |   6.164 (/pb) |
|        |              |               |            [234-307] |               |
| 166049 |          874 |  22.599 (/pb) |   [53-86], [88-236], |  16.083 (/pb) |
|        |              |               |            [242-674] |               |
| 166149 |           30 | 868.436 (/nb) |                [1-2] |   2.073 (/nb) |
| 166150 |          115 |   2.838 (/pb) |    [1-99], [101-115] |   2.706 (/pb) |
| 166161 |          103 |   2.854 (/pb) | [38-120], [122-123], |   2.054 (/pb) |
|        |              |               |            [126-126] |               |
| 166163 |           45 |   1.220 (/pb) |      [1-12], [14-33] | 623.610 (/nb) |
| 166164 |           39 | 878.352 (/nb) |      [1-32], [34-39] | 785.342 (/nb) |
| 166346 |          173 |   4.544 (/pb) |  [48-210], [212-214] |   4.291 (/pb) |
| 166374 |          166 |   4.485 (/pb) |    [46-64], [66-188] |   3.728 (/pb) |
| 166380 |         1816 |  36.328 (/pb) |  [1-367], [373-711], |  35.415 (/pb) |
|        |              |               |          [715-1400], |               |
|        |              |               |          [1406-1809] |               |
| 166408 |         1174 |  28.772 (/pb) | [67-283], [291-947], |  27.815 (/pb) |
|        |              |               |           [953-1235] |               |
| 166429 |           60 |   1.581 (/pb) |              [33-88] |   1.394 (/pb) |
| 166438 |          861 |  19.312 (/pb) |   [32-85], [87-856], |  18.384 (/pb) |
|        |              |               |            [858-866] |               |
| 166462 |          453 |  10.044 (/pb) | [78-102], [108-317], |   9.415 (/pb) |
|        |              |               |            [323-525] |               |
| 166486 |          126 |   2.610 (/pb) |    [54-75], [80-95], |   2.320 (/pb) |
|        |              |               |             [97-173] |               |
| 166502 |           72 |   1.743 (/pb) |    [43-78], [83-108] |   1.428 (/pb) |
| 166512 |         1870 |  39.723 (/pb) | [42-430], [432-487], |  38.044 (/pb) |
|        |              |               |           [491-605], |               |
|        |              |               |          [611-1279], |               |
|        |              |               |         [1281-1818], |               |
|        |              |               |         [1821-1862], |               |
|        |              |               |         [1868-1868], |               |
|        |              |               |         [1870-1871], |               |
|        |              |               |          [1873-1874] |               |
| 166514 |          464 |   7.496 (/pb) |   [1-455], [460-464] |   7.361 (/pb) |
| 166530 |           25 | 612.858 (/nb) |              [43-62] | 460.834 (/nb) |
| 166554 |          709 |  17.251 (/pb) | [46-218], [224-287], |  16.136 (/pb) |
|        |              |               |           [290-317], |               |
|        |              |               |           [320-595], |               |
|        |              |               |           [597-730], |               |
|        |              |               | [732-734], [736-736] |               |
| 166563 |          582 |  11.767 (/pb) |   [1-276], [492-748] |  10.641 (/pb) |
| 166565 |          897 |  15.351 (/pb) |  [1-147], [153-312], |  14.986 (/pb) |
|        |              |               | [316-467], [469-897] |               |
| 166699 |          868 |  18.639 (/pb) | [55-234], [240-415], |  17.789 (/pb) |
|        |              |               |           [421-477], |               |
|        |              |               | [483-677], [681-912] |               |
| 166701 |          791 |  13.483 (/pb) |    [1-13], [16-319], |  12.527 (/pb) |
|        |              |               |           [324-506], |               |
|        |              |               |           [513-551], |               |
|        |              |               |           [557-672], |               |
|        |              |               |           [681-705], |               |
|        |              |               |           [712-724], |               |
|        |              |               |           [731-757], |               |
|        |              |               | [764-777], [783-791] |               |
| 166763 |          608 |  13.849 (/pb) |  [46-168], [174-649] |  13.446 (/pb) |
| 166781 |          356 |   8.666 (/pb) | [41-111], [115-115], |   7.926 (/pb) |
|        |              |               |           [117-233], |               |
|        |              |               | [236-253], [255-382] |               |
| 166782 |          581 |  12.348 (/pb) |              [1-569] |  11.923 (/pb) |
| 166784 |          389 |   7.441 (/pb) |  [1-114], [119-276], |   6.550 (/pb) |
|        |              |               |            [281-365] |               |
| 166787 |          363 |   6.315 (/pb) |    [1-55], [60-127], |   6.084 (/pb) |
|        |              |               |            [132-363] |               |
| 166839 |          277 |   6.593 (/pb) | [43-173], [178-297], |   5.282 (/pb) |
|        |              |               |            [299-302] |               |
| 166841 |         1023 |  20.978 (/pb) |  [1-845], [851-876], |  20.096 (/pb) |
|        |              |               |           [882-977], |               |
|        |              |               |           [984-984], |               |
|        |              |               |           [988-992], |               |
|        |              |               |           [998-1015] |               |
| 166842 |          186 |   2.949 (/pb) |              [1-170] |   2.897 (/pb) |
| 166859 |          394 |   9.857 (/pb) | [62-418], [421-421], |   8.642 (/pb) |
|        |              |               |            [423-423] |               |
| 166860 |           36 | 840.129 (/nb) |               [1-21] | 406.800 (/nb) |
| 166861 |           50 |   1.150 (/pb) |        [1-6], [8-13] | 184.188 (/nb) |
| 166864 |          536 |  11.275 (/pb) |     [1-29], [31-77], |   9.695 (/pb) |
|        |              |               |  [79-99], [102-119], |               |
|        |              |               |           [125-247], |               |
|        |              |               |           [249-307], |               |
|        |              |               |           [311-365], |               |
|        |              |               |           [367-374], |               |
|        |              |               | [378-454], [478-536] |               |
| 166888 |          434 |  11.228 (/pb) |   [56-90], [93-154], |  10.261 (/pb) |
|        |              |               | [156-394], [398-470] |               |
| 166889 |          241 |   5.686 (/pb) |     [1-73], [79-228] |   5.059 (/pb) |
| 166890 |          548 |  11.734 (/pb) |              [1-441] |   9.392 (/pb) |
| 166894 |          219 |   4.250 (/pb) |              [1-190] |   3.580 (/pb) |
| 166895 |          601 |  10.613 (/pb) |    [1-66], [72-597], |  10.353 (/pb) |
|        |              |               |            [599-601] |               |
| 166911 |           53 |   1.319 (/pb) |    [58-76], [81-103] | 991.821 (/nb) |
| 166922 |          789 |  19.432 (/pb) |    [1-39], [41-105], |  18.189 (/pb) |
|        |              |               |           [110-340], |               |
|        |              |               |           [345-418], |               |
|        |              |               |           [423-747], |               |
|        |              |               | [752-769], [773-773] |               |
| 166923 |          469 |   9.874 (/pb) |   [1-382], [389-469] |   9.613 (/pb) |
| 166946 |          177 |   4.707 (/pb) |    [41-72], [75-201] |   4.121 (/pb) |
| 166950 |         1450 |  31.285 (/pb) |       [1-1], [8-31], |  29.598 (/pb) |
|        |              |               | [36-210], [216-877], |               |
|        |              |               |           [883-950], |               |
|        |              |               |          [956-1012], |               |
|        |              |               |         [1018-1321], |               |
|        |              |               |         [1327-1345], |               |
|        |              |               |          [1347-1438] |               |
| 166960 |          199 |   3.591 (/pb) |   [1-137], [143-166] |   2.856 (/pb) |
| 166966 |          254 |   4.381 (/pb) |              [1-238] |   3.993 (/pb) |
| 166967 |          219 |   3.532 (/pb) |              [1-219] |   3.479 (/pb) |
| 167039 |          235 |   5.827 (/pb) |    [20-92], [98-228] |   4.994 (/pb) |
| 167041 |          676 |  14.294 (/pb) |  [1-336], [339-391], |  13.612 (/pb) |
|        |              |               | [396-462], [467-663] |               |
| 167043 |          236 |   4.203 (/pb) |   [1-125], [130-235] |   4.060 (/pb) |
| 167078 |          142 |   3.463 (/pb) |             [40-174] |   3.218 (/pb) |
| 167098 |          420 |   9.252 (/pb) |   [62-90], [92-162], |   8.312 (/pb) |
|        |              |               | [167-406], [448-461] |               |
| 167102 |          440 |   8.726 (/pb) |    [1-42], [48-233], |   8.023 (/pb) |
|        |              |               | [235-317], [323-430] |               |
| 167103 |           94 |   1.678 (/pb) |               [1-94] |   1.625 (/pb) |
| 167151 |           68 |   1.619 (/pb) |               [1-42] | 992.486 (/nb) |
| 167281 |          597 |  14.152 (/pb) | [18-140], [146-315], |  13.283 (/pb) |
|        |              |               |            [317-593] |               |
| 167282 |          457 |   8.915 (/pb) |              [1-441] |   8.486 (/pb) |
| 167284 |         1708 |  25.953 (/pb) |  [1-315], [320-346], |  24.551 (/pb) |
|        |              |               |           [356-395], |               |
|        |              |               |           [399-474], |               |
|        |              |               |          [476-1157], |               |
|        |              |               |         [1160-1628], |               |
|        |              |               |          [1633-1644] |               |
| 167551 |          424 |  11.550 (/pb) |  [56-190], [196-471] |  10.962 (/pb) |
| 167673 |          308 |   8.165 (/pb) |           [210-236], |   5.866 (/pb) |
|        |              |               |           [239-305], |               |
|        |              |               | [309-418], [423-447] |               |
| 167674 |          355 |   8.617 (/pb) |              [1-345] |   8.189 (/pb) |
| 167675 |         1069 |  22.143 (/pb) |  [1-129], [133-299], |  19.193 (/pb) |
|        |              |               |           [301-617], |               |
|        |              |               |           [690-707], |               |
|        |              |               |           [710-712], |               |
|        |              |               |           [715-716], |               |
|        |              |               |           [719-719], |               |
|        |              |               |           [721-725], |               |
|        |              |               |           [740-741], |               |
|        |              |               |           [748-758], |               |
|        |              |               |           [762-770], |               |
|        |              |               |           [774-787], |               |
|        |              |               |           [793-797], |               |
|        |              |               |           [811-1062] |               |
| 167676 |          452 |   7.869 (/pb) |   [1-278], [289-450] |   7.589 (/pb) |
| 167740 |          104 |   2.582 (/pb) | [79-126], [132-168], |   2.194 (/pb) |
|        |              |               |            [170-173] |               |
| 167746 |          351 |   8.706 (/pb) |             [56-384] |   8.398 (/pb) |
| 167754 |           50 |   1.185 (/pb) |             [62-103] | 999.621 (/nb) |
| 167784 |          100 |   2.714 (/pb) |              [51-67] | 430.790 (/nb) |
| 167786 |          176 |   4.458 (/pb) |      [1-1], [11-75], |   3.995 (/pb) |
|        |              |               |             [81-176] |               |
| 167807 |         1824 |  42.921 (/pb) | [60-159], [178-204], |  40.683 (/pb) |
|        |              |               |           [210-482], |               |
|        |              |               |           [484-558], |               |
|        |              |               |           [560-872], |               |
|        |              |               |          [878-1441], |               |
|        |              |               |          [1444-1842] |               |
| 167830 |         1248 |  20.931 (/pb) |  [1-437], [442-587], |  20.378 (/pb) |
|        |              |               |           [590-828], |               |
|        |              |               |           [834-1242] |               |
